Lat,Lon,hour,is_wekend,dbscan_cluster,dbscan2_cluster
40.684,-74.0008,17,1,0,0
40.6353,-73.9132,18,1,0,0
40.7059,-74.0097,7,0,0,0
40.7499,-74.0026,20,0,0,0
40.7824,-73.958,7,0,0,0
40.7316,-74.001,21,0,0,0
40.6676,-73.9942,13,0,0,0
40.7381,-74.0088,20,0,0,0
40.7037,-74.013,21,1,0,0
40.7292,-73.9921,0,1,0,0
40.7177,-74.0058,18,1,0,0
40.7702,-73.865,20,1,0,0
40.774,-73.8717,21,0,0,0
40.7646,-73.9165,14,1,0,0
40.6754,-73.9888,15,0,0,0
40.7288,-73.9846,7,1,0,0
40.7546,-73.9916,17,0,0,0
40.7261,-73.9835,21,0,0,0
40.71,-73.9627,20,0,0,0
40.772,-73.9521,6,0,0,0
40.8098,-73.953,15,0,0,0
40.7246,-73.9815,16,1,0,0
40.7584,-73.9867,22,0,0,0
40.7532,-73.9834,5,0,0,0
40.7699,-73.965,10,0,0,0
40.7591,-73.9749,18,0,0,0
40.7215,-73.9976,22,0,0,0
40.7477,-73.9852,15,0,0,0
40.7633,-73.9631,23,0,0,0
40.753,-73.9812,18,0,0,0
40.7329,-74.0002,21,0,0,0
40.7211,-73.9794,8,0,0,0
40.8511,-73.934,20,0,0,0
40.7324,-73.995,9,1,0,0
40.7401,-73.9883,6,0,0,0
40.7098,-74.0147,19,1,0,0
40.7447,-73.995,19,0,0,0
40.749,-73.9884,0,1,0,0
40.7273,-73.992,15,0,0,0
40.7086,-74.0098,19,0,0,0
40.7744,-73.9635,22,0,0,0
40.7196,-74.0006,17,1,0,0
40.7236,-74.008,17,0,0,0
40.6949,-74.1777,15,0,1,1
40.7439,-73.9893,18,0,0,0
40.7477,-73.9863,5,1,0,0
40.7464,-73.9796,9,0,0,0
40.759,-73.9767,14,0,0,0
40.7109,-73.9337,6,0,0,0
40.7333,-73.9581,21,1,0,0
40.7528,-73.9814,7,0,0,0
40.7186,-73.9636,18,1,0,0
40.6465,-73.7894,20,0,0,0
40.714,-74.0146,19,0,0,0
40.7225,-74.0013,11,0,0,0
40.7947,-73.9723,6,1,0,0
40.7585,-73.9673,15,0,0,0
40.7412,-74.0032,8,0,0,0
40.7179,-73.9457,18,0,0,0
40.7598,-73.9918,21,0,0,0
40.7545,-73.9996,3,1,0,0
40.7821,-73.9818,10,1,0,0
40.7372,-73.9962,8,0,0,0
40.739,-73.9944,23,0,0,0
40.7887,-73.9781,15,0,0,0
40.786,-73.979,7,0,0,0
40.7593,-73.9947,1,0,0,0
40.7764,-73.9801,8,0,0,0
40.7551,-73.984,20,0,0,0
40.7884,-73.9688,14,0,0,0
40.7191,-73.9904,0,1,0,0
40.7191,-73.9925,8,1,0,0
40.7261,-74.0039,17,0,0,0
40.7464,-73.9904,11,0,0,0
40.7376,-73.9911,1,1,0,0
40.7323,-73.9926,8,0,0,0
40.6077,-73.9571,18,0,0,0
40.6068,-73.9403,15,1,0,0
40.6859,-73.9942,21,0,0,0
40.7614,-73.9898,8,0,0,0
40.7654,-73.9724,12,0,0,0
40.7524,-73.9734,17,0,0,0
40.7725,-73.9558,6,0,0,0
40.6862,-73.9566,8,0,0,0
40.7729,-73.9818,11,0,0,0
40.7336,-73.9766,17,1,0,0
40.7385,-73.9807,9,1,0,0
40.7518,-74.0077,15,0,0,0
40.7216,-74.0033,10,0,0,0
40.7429,-74.0078,21,1,0,0
40.7708,-73.9836,8,0,0,0
40.7316,-74.0032,17,0,0,0
40.7488,-73.9886,0,1,0,0
40.7644,-73.9714,23,0,0,0
40.7166,-74.0061,14,0,0,0
40.6664,-73.9893,18,1,0,0
40.7433,-74.0069,17,0,0,0
40.7554,-73.9677,15,0,0,0
40.7332,-73.9966,13,0,0,0
40.7034,-73.9897,18,1,0,0
40.7612,-73.9997,7,0,0,0
40.7747,-73.9822,14,0,0,0
40.7594,-73.9822,9,0,0,0
40.769,-73.9522,14,0,0,0
40.7433,-73.9964,8,0,0,0
40.7568,-73.969,23,0,0,0
40.7678,-73.9833,15,0,0,0
40.7517,-73.9944,6,0,0,0
40.7612,-73.9906,21,0,0,0
40.7636,-73.9851,16,1,0,0
40.7739,-73.8723,19,0,0,0
40.779,-73.9622,14,0,0,0
40.7413,-73.9856,17,0,0,0
40.7599,-73.9708,7,0,0,0
40.7256,-73.9788,13,1,0,0
40.7234,-73.9457,11,1,0,0
40.7596,-73.9764,17,0,0,0
40.7173,-74.0159,0,1,0,0
40.7528,-73.978,19,0,0,0
40.7354,-74.0019,11,0,0,0
40.7251,-74.0075,16,0,0,0
40.7709,-73.8659,16,0,0,0
40.7217,-74.0,18,1,0,0
40.6976,-73.9363,21,0,0,0
40.7257,-73.992,1,1,0,0
40.7532,-73.979,17,0,0,0
40.645,-73.782,5,0,0,0
40.7224,-73.997,19,0,0,0
40.7108,-74.0109,14,0,0,0
40.7504,-73.9794,15,0,0,0
40.6699,-73.9832,8,0,0,0
40.7855,-73.9697,17,1,0,0
40.7141,-73.9925,1,1,0,0
40.7268,-73.9957,15,0,0,0
40.762,-73.9716,16,1,0,0
40.7512,-73.9754,16,0,0,0
40.738,-73.9879,20,0,0,0
40.7646,-73.9664,6,0,0,0
40.7664,-73.9864,7,0,0,0
40.7112,-73.9634,8,1,0,0
40.7014,-73.9829,10,0,0,0
40.7648,-73.9535,13,0,0,0
40.657,-73.974,19,0,0,0
40.722,-73.8559,20,0,0,0
40.7279,-74.0001,22,0,0,0
40.711,-74.0062,11,0,0,0
40.7174,-73.9521,1,1,0,0
40.7222,-74.0099,22,0,0,0
40.749,-73.9941,11,0,0,0
40.7871,-73.9563,10,1,0,0
40.7472,-73.9428,15,0,0,0
40.7375,-74.0077,14,1,0,0
40.7343,-74.0076,18,0,0,0
40.7767,-73.949,7,0,0,0
40.7296,-73.9809,7,1,0,0
40.7619,-73.9847,20,0,0,0
40.6899,-73.9801,9,0,0,0
40.7351,-73.9894,16,0,0,0
40.7739,-73.8717,13,1,0,0
40.7421,-73.9877,17,1,0,0
40.7596,-73.9881,17,0,0,0
40.8921,-73.9114,15,0,0,0
40.7207,-74.0019,18,0,0,0
40.7583,-73.9207,18,1,0,0
40.8216,-73.9508,5,0,0,0
40.7274,-73.9853,19,0,0,0
40.7224,-74.0113,19,0,0,0
40.7285,-73.9947,14,0,0,0
40.7524,-73.9861,21,0,0,0
40.764,-73.9732,20,0,0,0
40.7452,-73.994,18,0,0,0
40.7753,-73.9512,21,0,0,0
40.7443,-73.9766,7,0,0,0
40.7499,-73.9898,14,0,0,0
40.7078,-74.0043,7,0,0,0
40.7716,-73.9668,11,0,0,0
40.7703,-73.9579,6,0,0,0
40.7498,-73.9934,8,0,0,0
40.7734,-73.955,16,0,0,0
40.7869,-73.9733,8,0,0,0
40.7767,-73.9892,17,1,0,0
40.7332,-73.9927,7,0,0,0
40.7381,-74.0039,21,1,0,0
40.7723,-73.9559,8,0,0,0
40.7413,-74.0051,1,1,0,0
40.7692,-73.9533,9,0,0,0
40.7343,-73.9786,5,0,0,0
40.7509,-73.9702,11,0,0,0
40.7483,-73.9929,16,0,0,0
40.7558,-73.9918,11,0,0,0
40.7582,-73.9645,17,0,0,0
40.7596,-73.9743,16,0,0,0
40.745,-73.9827,12,0,0,0
40.7888,-73.9781,12,0,0,0
40.7556,-73.9754,20,0,0,0
40.7314,-73.9886,1,1,0,0
40.8217,-73.9449,23,0,0,0
40.6447,-73.7823,20,0,0,0
40.7111,-74.0096,11,1,0,0
40.7293,-74.0022,22,0,0,0
40.7383,-73.9968,5,0,0,0
40.7677,-73.989,23,1,0,0
40.7159,-74.0061,7,0,0,0
40.6915,-74.1772,19,0,1,1
40.7478,-74.0041,21,0,0,0
40.7606,-73.9604,5,0,0,0
40.7215,-73.9463,15,1,0,0
40.7317,-74.0045,16,1,0,0
40.7054,-74.0077,0,0,0,0
40.6882,-73.9529,4,0,0,0
40.7346,-74.0096,12,0,0,0
